OI番号,原文,日時,ClaudeセッションID,発言種別,対応録画JSON,報告BUILD,原因,修正BUILD,修正commit,回帰テスト名,現在の判定,備考
OI-011,変化球が変化していなかったり,2026-07-31T10:12:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決 / Ultra=所見6/所見12,文書(charter/master)への言及commit: 07513995
OI-012,打球がフェンスに当たっても跳ね返らずにエンタイトルツーベースになったり,2026-07-31T10:12:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-013,みーとかーそるの当たり方とボールの飛び方があっていないときがあります,2026-07-31T10:12:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=判定不能 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-014,ショートの横をボールが抜けたのにショートゴロになりました,2026-07-31T10:17:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-015,守備の動きが早すぎます,2026-07-31T10:20:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=判定不能 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-016,ワンバウンドしてフェンスに直撃したらエンタイトルツーベースになる問題が直っていません,2026-07-31T10:20:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決 / Ultra=所見6/所見12,文書(charter/master)への言及commit: 07513995
OI-017,セカンドの横を抜けた打球がまたセカンドごろになりました,2026-07-31T10:22:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-018,ランナーが走ってほしい,2026-07-31T10:44:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,走者システムを実装。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-019,守備も送球や返球までしっかりやってほしいです,2026-07-31T10:44:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,送球・返球フェーズを実装。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-020,ホームランを打った時に外野手がフェンスを越えて打球を追いかけていたので修正して,2026-07-31T10:44:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-021,ランナーと守備も自操作したい,2026-07-31T10:50:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,S/Z/X/C・方向キーによる操作を実装。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-022,それぞれの選手に能力値を設定してほしい（先ほどファーストの守備能力が高すぎて、セカンドまで来ていた）,2026-07-31T10:50:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,能力値システムを実装。**OI-108（相手ファーストの守備が良すぎ・守備力と逆）で再指摘**。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-023,あと1試合の平均得点数は両チーム合わせて8~10点が妥当です,2026-07-31T10:50:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,`REBUILD_CHARTER.md` 未解決2で基準取り直し。出荷状態=あなたの打線9.3点／CPU打線2.5点。**この「錨」は以後の全較正の合否基準として使われている**。要検証（現行BUILDでの再測定が必要）。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=判定不能 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-024,捕った瞬間に投げている,2026-07-31T10:52:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,持ち替え時間を導入（OI-027で仕様が上書きされる）。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-025,一塁に間に合うかどうかではなく、捕った瞬間にアウト判定が出ている,2026-07-31T10:52:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-026,外野からの送球でも減速しないので肩が強すぎます,2026-07-31T10:52:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,"送球速度に距離減衰を導入。**「肩が強すぎる」は OI-042, OI-092, OI-107, OI-120, OI-126 で計6回再指摘＝最多再発系統のひとつ**。要検証。",UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=部分解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-027,パワプロの能力値と同じで、弾道、ミート、パワー、走力、肩力、守備力、捕球を設定し、持ち替え時間は守備力と捕球の両方に依存します（エラーしなくてもちゃんと捕れていなければ握り直しに時間がかかる→捕球、純粋なとってから投げるまでの能力→守備力）,2026-07-31T11:14:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,7能力を実装。後に「送球（精度）」を8つ目として追加（OI-200）。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-028,各選手の能力値を確認できる画面を追加してほしいです,2026-07-31T11:14:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,R画面を実装。後にE列（エラー数）・送球列を追加。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-029,試合をポーズできる機能も追加してほしいです（能力値を確認できる画面にいる間は試合は自動でポーズで）,2026-07-31T11:14:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,実装。**OI-103（ポーズ中に設定変更できない）で追加指摘**。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-030,守備の足のほうが塁間を走る速さよりも速いのはおかしいです,2026-07-31T11:27:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=判定不能 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-031,守備で投げる塁は矢印キーを使いたいです,2026-07-31T11:35:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,実装（後に OI-033 でキー変更）。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=対象外 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-032,打球が飛んでいる間に Shift（またはボタン）で、走者が塁打数より1つ多く狙います：どういうことですか？進塁と帰塁キーの二つを用意したらいいだけでは？,2026-07-31T11:35:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,進塁(S)/帰塁(X) の2キー方式へ設計変更。**この「CCが複雑な独自仕様を作り、オーナーが単純な正解を指摘する」型は繰り返し発生**。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決 / Ultra=所見6/所見12,文書(charter/master)への言及commit: 07513995
OI-033,"やっぱり矢印キーじゃなくてs,z,x,cキーがいいです",2026-07-31T11:37:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,実装。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決 / Ultra=所見6/所見12,文書(charter/master)への言及commit: 07513995
OI-034,塁でタッチしてアウトになるかどうかですよね？,2026-07-31T11:40:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,タッチ/フォースの区別を実装。**OI-109（塁間タッチでアウト）で不足が判明**。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-035,ランナーが挟まれた時の挟殺プレーも実装が必要です,2026-07-31T11:40:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,"挟殺を実装。**挟殺は以後 OI-087, OI-106, OI-109, OI-137, OI-167, OI-168, OI-226, OI-228, OI-229 で計10回以上指摘される最大の問題領域**。",UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-036,送球したときに受け取る野手がいません / これは内野ゴロ、フライ、挟殺プレーすべてに言えることです,2026-07-31T11:55:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,"ベースカバー担当を実装。**「カバーがいない・間に合わない」系は OI-066, OI-067, OI-081, OI-087, OI-097, OI-106, OI-162 で再発**。要検証。",UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-037,"走塁操作時にs,xキーを押した後の挙動がおかしいです。次の累到達時にsキーを押していたり、塁に泊まっているときにsキーを押したら次の累に進み、塁間にいるときにxキーを押したら戻るようにしてください",2026-07-31T11:55:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,押下状態ベースの判定へ変更（OI-043で再確認）。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-038,タッチアップを導入し、フライのときには捕球時にランナーが元の累にいないと戻らないといけないようにしてください,2026-07-31T11:55:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,タッチアップ実装。**OI-129（捕球前からsを押さないとタッチアップできない）で不備が判明**。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-039,ショートの頭の上を超えていたのに捕球された判定になってアウトになりました,2026-07-31T12:48:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,"`REBUILD_CHARTER.md` 未解決1 として長期追跡。**8/4夜に真因特定（着地判定の `ball.t>0.2` ガード。-30°の叩きつけは0.02秒で接地するため最初のバウンドが着地に数えられず、跳ね上がりが空中フライ扱いで捕球されていた）→ガード撤去。テスト4で30試行違反0**。要検証（同系統が OI-115, OI-121, OI-193 で計6回指摘されており、8/4の修正が全系統を覆うかは未確認）。",UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-040,アウトになった時点で表示してほしくて、フライやライナーの時はピッチャーにボールが返ってくるまでアウトと出ないので修正して,2026-07-31T12:48:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,"アウト即時表示をプレー打ち切りと分離。**OI-047, OI-156 で再指摘**。要検証。",UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995; dbf2604b
OI-041,ショートへの内野安打だったのに、ショートが本塁に送球してなぜかアウトの判定になりました,2026-07-31T12:48:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-042,全体的に肩が強すぎます,2026-07-31T12:52:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,距離減衰・空気抵抗を段階的に調整。要検証。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=部分解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-043,一度sを押すと、次の累に到達したときにsを押していなくても進塁しようとするので修正して,2026-07-31T12:52:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,"押下状態判定へ。**OI-052, OI-054 で再指摘**。要検証。",UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-044,フライアウト時にマウンドのほうに送球しますが、ピッチャーがいなくてもマウンドの上でボールが停止するので、ピッチャーがボールの位置に移動して取りに行くか、ピッチャーのいるほうにボールを投げるように修正して,2026-07-31T12:52:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,"投手返球の処理を修正。**「誰もいない塁／場所に投げて球が止まる」型は OI-047, OI-066 と同型**。要検証。",UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-045,センター前ヒットで打者が一塁を回ったらセンターは本塁にボールを投げ、キャッチャーの手間でボールと守備陣が全員固まり動かなくなります,2026-07-31T12:58:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-046,その間にランナーが3塁まで進んだとしても、次のバッターの時にはランナー1塁で試合が再開されていました,2026-07-31T12:58:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-047,ファーストゴロでファーストがボールをとって誰もいない一塁にボールを投げ、なぜかボールは一塁上でぴたりと止まりあうと判定になる,2026-07-31T12:58:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,"ベースカバー判定を実装。**OI-066（1,2塁サードゴロで誰もいない三塁へ投げ球が塁上で止まる）で再発**。要検証。",UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
OI-048,2アウト1塁でフライを打ち上げたため、ランナーは走っていたのですが、フライ捕球後も3アウトチェンジにならずに、フライをとったセンターが一塁にボールを投げ、ダブルプレーの表示が出ました,2026-07-31T12:58:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,UNKNOWN（記録欄なし＝未対応 or 要望・質問系）,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=解決 / Sol=解決,文書(charter/master)への言及commit: 07513995
OI-049,このように明らかに野球ゲームとしては欠陥が多すぎるので、コード全体で考えうるすべてのプレーを行っても問題が生じないか精査すべきだと思います。また、opus5の精査後にsol ultraにも精査してもらうべきだと思います,2026-07-31T12:58:00+09:00（推定・本文ヘッダより）,UNKNOWN（本文類似候補はあるが日時不一致のため不採用）,UNKNOWN,UNKNOWN（本文に録画言及なし）,UNKNOWN,総当たり検証ハーネス（2592場面→縮約128）と Sol/Codex レビューの体制はこの指摘が起源。,UNKNOWN,UNKNOWN（コード側diffにOI番号の追記行なし。記録欄の内容から人間が対応commitを推定する必要あり）,UNKNOWN,Fable=対象外 / Sol=部分解決,文書(charter/master)への言及commit: 07513995
